,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10,are_paired
10,5.0,0.0,1.0,6.0,5.0,6.0,4.0,8.0,2.0,7.0,7.0,3.0,5.0,0.0,7.0,1.0,4.0,3.0,4.0,6.0,4.0,6.0,5.0,6.0,2.0,3.0,1.0
11,6.0,1.0,0.0,8.0,5.0,4.0,5.0,7.0,4.0,6.0,5.0,2.0,5.0,7.0,3.0,0.0,7.0,3.0,5.0,4.0,6.0,4.0,8.0,8.0,2.0,5.0,1.0
12,7.0,1.0,0.0,7.0,5.0,4.0,8.0,5.0,5.0,8.0,7.0,1.0,7.0,7.0,4.0,0.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,4.0,5.0,1.0
13,5.0,8.0,7.0,5.0,3.0,7.0,5.0,7.0,3.0,6.0,7.0,1.0,7.0,2.0,3.0,0.0,8.0,6.0,4.0,3.0,4.0,4.0,3.0,5.0,7.0,3.0,1.0
14,6.0,1.0,0.0,5.0,4.0,4.0,8.0,6.0,5.0,7.0,5.0,3.0,5.0,7.0,3.0,1.0,2.0,6.0,5.0,6.0,0.0,3.0,5.0,4.0,5.0,7.0,1.0
15,5.0,7.0,0.0,6.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,6.0,3.0,5.0,4.0,5.0,1.0,4.0,2.0,4.0,5.0,7.0,1.0
16,4.0,2.0,3.0,6.0,5.0,2.0,5.0,5.0,1.0,3.0,3.0,3.0,7.0,1.0,8.0,2.0,5.0,4.0,6.0,6.0,3.0,4.0,5.0,6.0,3.0,7.0,1.0
17,4.0,8.0,0.0,6.0,6.0,5.0,7.0,3.0,4.0,3.0,3.0,5.0,6.0,2.0,3.0,2.0,6.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,1.0,5.0,1.0
18,5.0,8.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,8.0,2.0,2.0,8.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,6.0,1.0
19,5.0,1.0,0.0,7.0,7.0,3.0,5.0,7.0,6.0,7.0,6.0,4.0,4.0,7.0,4.0,0.0,2.0,6.0,3.0,6.0,1.0,5.0,6.0,5.0,5.0,4.0,1.0
20,3.0,9.0,3.0,6.0,4.0,7.0,5.0,5.0,4.0,5.0,3.0,2.0,7.0,3.0,5.0,7.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,1.0
21,5.0,6.0,0.0,8.0,5.0,6.0,5.0,7.0,4.0,5.0,5.0,3.0,7.0,3.0,8.0,3.0,5.0,1.0,5.0,0.0,5.0,2.0,6.0,7.0,3.0,7.0,1.0
22,5.0,3.0,0.0,5.0,4.0,5.0,6.0,7.0,2.0,4.0,2.0,5.0,4.0,3.0,8.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0
23,5.0,7.0,4.0,5.0,4.0,5.0,7.0,6.0,3.0,6.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,9.0,5.0,5.0,1.0,5.0,6.0,6.0,7.0,6.0,1.0
24,5.0,7.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,9.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,6.0,5.0,3.0,6.0,1.0
25,6.0,3.0,0.0,5.0,4.0,3.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,5.0,3.0,4.0,3.0,4.0,6.0,7.0,7.0,5.0,4.0,1.0
26,4.0,3.0,0.0,6.0,4.0,3.0,4.0,6.0,2.0,5.0,3.0,5.0,4.0,3.0,7.0,6.0,4.0,4.0,5.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,1.0
27,5.0,3.0,0.0,4.0,6.0,5.0,4.0,5.0,3.0,6.0,6.0,3.0,5.0,2.0,1.0,2.0,8.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,1.0
28,5.0,7.0,4.0,6.0,4.0,4.0,6.0,6.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0
29,5.0,3.0,0.0,6.0,8.0,6.0,9.0,1.0,7.0,4.0,4.0,7.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,1.0
30,4.0,4.0,0.0,6.0,6.0,4.0,7.0,4.0,5.0,7.0,5.0,6.0,3.0,4.0,3.0,0.0,5.0,6.0,4.0,9.0,2.0,7.0,4.0,5.0,5.0,5.0,1.0
31,3.0,3.0,8.0,5.0,5.0,0.0,4.0,6.0,1.0,6.0,0.0,7.0,7.0,3.0,0.0,3.0,7.0,3.0,5.0,4.0,6.0,4.0,5.0,5.0,3.0,5.0,1.0
32,6.0,1.0,0.0,4.0,4.0,2.0,5.0,4.0,4.0,6.0,4.0,3.0,6.0,7.0,2.0,1.0,3.0,7.0,4.0,5.0,1.0,4.0,5.0,5.0,7.0,4.0,1.0
33,6.0,1.0,3.0,4.0,4.0,3.0,7.0,5.0,5.0,6.0,4.0,2.0,5.0,2.0,3.0,0.0,7.0,2.0,5.0,4.0,5.0,4.0,5.0,6.0,2.0,4.0,1.0
34,5.0,9.0,0.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,8.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,6.0,1.0
35,5.0,8.0,6.0,6.0,5.0,5.0,7.0,3.0,6.0,4.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,6.0,3.0,6.0,5.0,3.0,1.0
36,5.0,6.0,3.0,5.0,4.0,4.0,5.0,6.0,1.0,4.0,3.0,4.0,5.0,2.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,1.0
37,5.0,8.0,7.0,6.0,5.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,7.0,6.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,7.0,1.0
38,3.0,8.0,0.0,4.0,6.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,8.0,1.0,6.0,4.0,5.0,4.0,4.0,4.0,8.0,8.0,4.0,6.0,1.0
39,3.0,1.0,7.0,2.0,6.0,0.0,7.0,2.0,6.0,4.0,4.0,7.0,6.0,0.0,8.0,2.0,7.0,5.0,7.0,6.0,2.0,6.0,5.0,7.0,4.0,7.0,1.0
40,5.0,7.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,0.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,6.0,4.0,6.0,1.0
41,2.0,1.0,0.0,7.0,7.0,5.0,6.0,6.0,1.0,4.0,5.0,3.0,6.0,1.0,5.0,8.0,6.0,0.0,3.0,3.0,4.0,4.0,8.0,9.0,1.0,5.0,1.0
42,5.0,3.0,0.0,5.0,4.0,5.0,6.0,8.0,5.0,5.0,6.0,0.0,7.0,3.0,7.0,6.0,7.0,4.0,4.0,3.0,5.0,5.0,6.0,7.0,4.0,4.0,1.0
43,6.0,2.0,5.0,4.0,7.0,4.0,6.0,5.0,7.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,3.0,5.0,4.0,4.0,1.0
44,5.0,7.0,0.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,6.0,3.0,5.0,1.0
45,6.0,1.0,0.0,4.0,5.0,5.0,7.0,2.0,4.0,6.0,4.0,4.0,7.0,6.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,6.0,1.0
46,3.0,4.0,1.0,4.0,6.0,1.0,8.0,4.0,8.0,5.0,6.0,7.0,2.0,3.0,6.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0
47,5.0,2.0,1.0,5.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,7.0,8.0,4.0,7.0,4.0,5.0,4.0,3.0,5.0,2.0,5.0,1.0
48,5.0,8.0,6.0,6.0,5.0,5.0,7.0,3.0,6.0,4.0,5.0,6.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,3.0,1.0
49,5.0,2.0,0.0,6.0,6.0,3.0,7.0,5.0,4.0,3.0,5.0,4.0,6.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,6.0,5.0,5.0,4.0,4.0,5.0,1.0
50,7.0,1.0,0.0,4.0,4.0,6.0,7.0,7.0,6.0,7.0,4.0,1.0,5.0,7.0,3.0,0.0,5.0,3.0,4.0,4.0,6.0,3.0,7.0,7.0,3.0,5.0,1.0
51,6.0,3.0,4.0,6.0,5.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,6.0,2.0,1.0,6.0,4.0,5.0,3.0,4.0,6.0,7.0,7.0,4.0,5.0,1.0
52,6.0,0.0,1.0,6.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,1.0,6.0,0.0,4.0,6.0,6.0,5.0,6.0,3.0,4.0,6.0,3.0,4.0,2.0,5.0,1.0
53,5.0,1.0,0.0,7.0,1.0,5.0,5.0,6.0,4.0,7.0,8.0,1.0,4.0,1.0,1.0,2.0,4.0,6.0,6.0,5.0,2.0,5.0,2.0,4.0,5.0,3.0,1.0
54,5.0,7.0,4.0,6.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,8.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,6.0,1.0
55,3.0,7.0,0.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,6.0,1.0
56,5.0,5.0,6.0,6.0,6.0,4.0,7.0,6.0,5.0,7.0,5.0,3.0,7.0,3.0,1.0,2.0,5.0,3.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0
57,5.0,1.0,0.0,6.0,4.0,7.0,6.0,5.0,2.0,7.0,4.0,1.0,8.0,6.0,2.0,0.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,3.0,3.0,1.0
58,5.0,7.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,4.0,2.0,5.0,3.0,6.0,3.0,6.0,3.0,4.0,1.0
59,5.0,1.0,0.0,4.0,7.0,5.0,6.0,4.0,4.0,3.0,2.0,3.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,6.0,3.0,4.0,1.0
60,5.0,1.0,0.0,4.0,6.0,2.0,5.0,4.0,6.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,5.0,7.0,5.0,4.0,1.0
61,6.0,0.0,1.0,8.0,3.0,3.0,3.0,7.0,2.0,7.0,3.0,4.0,6.0,0.0,2.0,8.0,7.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,5.0,6.0,1.0
62,5.0,9.0,4.0,7.0,3.0,5.0,5.0,6.0,2.0,5.0,6.0,1.0,8.0,3.0,7.0,6.0,7.0,4.0,4.0,3.0,5.0,5.0,6.0,7.0,4.0,4.0,1.0
63,5.0,7.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,5.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,1.0
64,5.0,7.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,5.0,7.0,1.0
65,5.0,9.0,3.0,7.0,3.0,3.0,7.0,5.0,4.0,9.0,8.0,1.0,7.0,3.0,7.0,8.0,4.0,4.0,5.0,6.0,4.0,6.0,6.0,5.0,3.0,3.0,1.0
66,5.0,8.0,1.0,5.0,5.0,4.0,5.0,6.0,1.0,5.0,4.0,4.0,6.0,3.0,1.0,2.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,4.0,2.0,1.0
67,6.0,9.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,7.0,6.0,4.0,6.0,4.0,5.0,2.0,4.0,5.0,3.0,7.0,5.0,1.0
68,5.0,1.0,0.0,7.0,1.0,3.0,5.0,5.0,4.0,7.0,8.0,1.0,3.0,1.0,1.0,4.0,5.0,6.0,6.0,6.0,3.0,6.0,3.0,3.0,5.0,5.0,1.0
69,5.0,8.0,6.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,2.0,7.0,6.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,1.0
70,5.0,9.0,3.0,6.0,4.0,7.0,5.0,6.0,3.0,3.0,3.0,3.0,6.0,3.0,6.0,0.0,7.0,4.0,5.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,1.0
71,5.0,1.0,0.0,6.0,8.0,4.0,6.0,6.0,7.0,7.0,6.0,5.0,3.0,7.0,8.0,1.0,5.0,2.0,4.0,3.0,3.0,6.0,8.0,10.0,3.0,8.0,1.0
72,5.0,5.0,6.0,3.0,4.0,6.0,7.0,6.0,5.0,6.0,2.0,3.0,4.0,3.0,0.0,3.0,8.0,2.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,1.0
73,4.0,6.0,0.0,5.0,7.0,1.0,8.0,1.0,5.0,6.0,3.0,8.0,4.0,1.0,8.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,1.0
74,5.0,1.0,0.0,4.0,4.0,5.0,6.0,4.0,3.0,6.0,4.0,4.0,9.0,0.0,8.0,1.0,6.0,7.0,5.0,6.0,2.0,6.0,6.0,6.0,4.0,6.0,1.0
75,5.0,7.0,0.0,5.0,4.0,4.0,5.0,6.0,1.0,2.0,0.0,4.0,5.0,2.0,1.0,2.0,6.0,3.0,4.0,4.0,3.0,4.0,7.0,5.0,3.0,7.0,1.0
76,7.0,1.0,1.0,7.0,3.0,4.0,7.0,6.0,4.0,6.0,6.0,1.0,5.0,1.0,8.0,6.0,5.0,7.0,4.0,5.0,4.0,6.0,4.0,7.0,4.0,6.0,1.0
77,5.0,9.0,0.0,4.0,4.0,5.0,6.0,6.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,7.0,2.0,5.0,1.0
78,5.0,7.0,0.0,6.0,4.0,5.0,7.0,3.0,4.0,3.0,3.0,4.0,6.0,2.0,0.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,6.0,1.0
79,4.0,1.0,0.0,4.0,7.0,4.0,4.0,6.0,6.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,1.0
80,5.0,1.0,0.0,3.0,5.0,3.0,7.0,4.0,6.0,8.0,4.0,2.0,6.0,7.0,3.0,0.0,6.0,2.0,5.0,3.0,5.0,4.0,6.0,7.0,3.0,4.0,1.0
81,3.0,8.0,6.0,5.0,7.0,6.0,3.0,5.0,2.0,4.0,5.0,6.0,6.0,2.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,7.0,4.0,6.0,4.0,4.0,1.0
82,6.0,1.0,0.0,5.0,4.0,4.0,7.0,6.0,4.0,5.0,4.0,2.0,6.0,7.0,3.0,0.0,6.0,2.0,5.0,3.0,5.0,4.0,6.0,7.0,3.0,4.0,1.0
83,4.0,1.0,7.0,3.0,6.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,0.0,2.0,1.0,7.0,3.0,5.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,1.0
84,5.0,8.0,8.0,3.0,6.0,5.0,7.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,3.0,0.0,6.0,7.0,2.0,1.0,5.0,5.0,7.0,4.0,4.0,4.0,1.0
85,5.0,7.0,0.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,6.0,1.0
86,4.0,5.0,0.0,6.0,5.0,8.0,7.0,6.0,4.0,7.0,5.0,2.0,8.0,3.0,0.0,3.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,1.0
87,5.0,7.0,0.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,7.0,6.0,4.0,0.0,6.0,0.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0,3.0,1.0
88,3.0,9.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,6.0,6.0,5.0,3.0,5.0,8.0,6.0,5.0,8.0,4.0,3.0,3.0,3.0,5.0,3.0,7.0,1.0
89,6.0,1.0,0.0,5.0,4.0,3.0,6.0,6.0,5.0,8.0,6.0,3.0,4.0,6.0,8.0,3.0,6.0,5.0,3.0,6.0,3.0,6.0,4.0,4.0,5.0,5.0,1.0
90,5.0,0.0,9.0,7.0,4.0,4.0,6.0,6.0,2.0,5.0,5.0,2.0,5.0,3.0,8.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,5.0,7.0,4.0,5.0,1.0
91,3.0,6.0,6.0,4.0,6.0,3.0,5.0,4.0,4.0,3.0,5.0,8.0,3.0,2.0,0.0,0.0,4.0,7.0,5.0,3.0,4.0,5.0,5.0,7.0,5.0,4.0,1.0
92,4.0,7.0,0.0,5.0,4.0,6.0,7.0,7.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,6.0,1.0
93,5.0,3.0,0.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,6.0,2.0,7.0,3.0,4.0,0.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,3.0,1.0
94,4.0,7.0,4.0,6.0,6.0,7.0,4.0,6.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,5.0,7.0,1.0
95,5.0,7.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,7.0,1.0
96,5.0,3.0,0.0,6.0,4.0,4.0,4.0,6.0,4.0,8.0,5.0,4.0,7.0,3.0,8.0,3.0,3.0,7.0,3.0,5.0,3.0,6.0,3.0,5.0,4.0,4.0,1.0
97,5.0,3.0,4.0,6.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,6.0,4.0,0.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,1.0
98,5.0,1.0,6.0,4.0,6.0,4.0,6.0,4.0,5.0,8.0,5.0,6.0,6.0,2.0,8.0,6.0,4.0,6.0,9.0,4.0,6.0,6.0,4.0,3.0,5.0,2.0,1.0
99,5.0,7.0,0.0,5.0,5.0,5.0,5.0,7.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,1.0
100,4.0,7.0,0.0,4.0,7.0,5.0,7.0,4.0,6.0,6.0,5.0,7.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,6.0,4.0,1.0
101,3.0,1.0,0.0,7.0,7.0,5.0,7.0,5.0,6.0,7.0,6.0,6.0,2.0,1.0,5.0,8.0,8.0,3.0,7.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,1.0
102,4.0,7.0,4.0,6.0,6.0,7.0,4.0,6.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,1.0
103,5.0,7.0,4.0,6.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,6.0,1.0
104,4.0,5.0,0.0,6.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,4.0,5.0,7.0,5.0,5.0,4.0,6.0,2.0,4.0,3.0,5.0,1.0
105,4.0,7.0,4.0,5.0,6.0,6.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,6.0,1.0
106,5.0,5.0,6.0,4.0,4.0,7.0,6.0,7.0,5.0,5.0,2.0,2.0,4.0,3.0,0.0,3.0,5.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,6.0,1.0,1.0
107,4.0,2.0,1.0,2.0,5.0,3.0,7.0,3.0,3.0,5.0,3.0,7.0,4.0,5.0,2.0,8.0,5.0,4.0,4.0,5.0,4.0,4.0,7.0,6.0,4.0,6.0,1.0
108,6.0,2.0,5.0,5.0,9.0,2.0,7.0,5.0,5.0,6.0,6.0,8.0,6.0,5.0,5.0,8.0,3.0,3.0,3.0,4.0,2.0,4.0,7.0,7.0,4.0,6.0,1.0
109,3.0,1.0,6.0,5.0,6.0,4.0,3.0,7.0,4.0,6.0,7.0,7.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,1.0
110,4.0,1.0,0.0,7.0,2.0,4.0,5.0,6.0,5.0,7.0,8.0,2.0,3.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,2.0,5.0,2.0,4.0,4.0,4.0,1.0
111,6.0,5.0,0.0,5.0,3.0,5.0,7.0,4.0,4.0,3.0,2.0,3.0,5.0,2.0,7.0,1.0,6.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0
112,5.0,7.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,6.0,1.0
113,6.0,9.0,1.0,4.0,6.0,3.0,7.0,7.0,5.0,6.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,6.0,5.0,1.0
114,6.0,3.0,5.0,7.0,6.0,4.0,5.0,6.0,2.0,7.0,4.0,4.0,6.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,1.0
115,3.0,1.0,1.0,5.0,7.0,3.0,5.0,5.0,4.0,9.0,5.0,7.0,3.0,1.0,2.0,4.0,6.0,1.0,7.0,4.0,4.0,5.0,7.0,6.0,2.0,6.0,1.0
116,4.0,1.0,0.0,7.0,3.0,1.0,4.0,6.0,3.0,6.0,6.0,6.0,3.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,2.0,5.0,2.0,4.0,4.0,4.0,1.0
117,6.0,3.0,0.0,7.0,5.0,5.0,5.0,6.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,0.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,2.0,5.0,1.0
118,5.0,1.0,0.0,6.0,2.0,3.0,5.0,6.0,5.0,6.0,7.0,3.0,4.0,1.0,1.0,2.0,6.0,4.0,6.0,7.0,3.0,6.0,3.0,4.0,3.0,5.0,1.0
119,5.0,7.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,1.0
120,4.0,9.0,1.0,6.0,4.0,3.0,7.0,6.0,4.0,6.0,5.0,5.0,3.0,3.0,8.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,1.0
121,6.0,2.0,3.0,7.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,0.0,5.0,1.0,0.0,0.0,4.0,7.0,5.0,8.0,3.0,7.0,7.0,4.0,4.0,4.0,1.0
122,4.0,8.0,0.0,7.0,6.0,4.0,8.0,4.0,6.0,5.0,5.0,8.0,2.0,3.0,2.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,2.0,4.0,5.0,7.0,1.0
